2026-04-27 14:14:09,506 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:09] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:12,369 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:12] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:12,462 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=244 field=extract_text elapsed=3.353s text_chars=1912
2026-04-27 14:14:12,463 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=244 field=numero_factura value=AR07829740
2026-04-27 14:14:12,463 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=244 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:12,464 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=244 field=fecha_generacion elapsed=0.000s value=18/03/2026
2026-04-27 14:14:12,465 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=244 field=fecha_expedicion elapsed=0.000s value=18/03/2026
2026-04-27 14:14:12,466 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=244 field=productos elapsed=0.000s productos_pagina=0
2026-04-27 14:14:12,466 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=244 elapsed=3.357s
2026-04-27 14:14:12,466 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=245
2026-04-27 14:14:13,783 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=245 field=extract_text elapsed=1.317s text_chars=4078
2026-04-27 14:14:13,783 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=245 field=numero_factura value=AR07829740
2026-04-27 14:14:13,784 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=245 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:13,785 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=245 field=fecha_generacion elapsed=0.000s value=18/03/2026
2026-04-27 14:14:13,786 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=245 field=fecha_expedicion elapsed=0.001s value=18/03/2026
2026-04-27 14:14:13,788 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=245 field=productos elapsed=0.001s productos_pagina=9
2026-04-27 14:14:13,789 | INFO | facturas_app.legacy.invoice_legacy | Extraction page products aggregated. file=ROYALFILMS12026-1-800.pdf page=245 productos_acumulados_factura=18
2026-04-27 14:14:13,789 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=245 elapsed=1.323s
2026-04-27 14:14:13,790 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=246
2026-04-27 14:14:15,435 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:15] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:17,228 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=246 field=extract_text elapsed=3.438s text_chars=1912
2026-04-27 14:14:17,229 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=246 field=numero_factura value=AR07829740
2026-04-27 14:14:17,229 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=246 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:17,230 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=246 field=fecha_generacion elapsed=0.000s value=18/03/2026
2026-04-27 14:14:17,231 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=246 field=fecha_expedicion elapsed=0.000s value=18/03/2026
2026-04-27 14:14:17,231 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=246 field=productos elapsed=0.000s productos_pagina=0
2026-04-27 14:14:17,232 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=246 elapsed=3.442s
2026-04-27 14:14:17,236 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=247
2026-04-27 14:14:18,266 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:18] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:21,768 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=247 field=extract_text elapsed=4.533s text_chars=4690
2026-04-27 14:14:21,773 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=247 field=numero_factura value=AR07840967
2026-04-27 14:14:21,783 | INFO | facturas_app.legacy.invoice_legacy | Extraction invoice boundary detected. file=ROYALFILMS12026-1-800.pdf page=247 previous_numero=AR07829740 new_numero=AR07840967
2026-04-27 14:14:21,805 | INFO | facturas_app.legacy.invoice_legacy | Extraction invoice committed. file=ROYALFILMS12026-1-800.pdf numero_factura=AR07829740 productos=18 registros_agregados=18
2026-04-27 14:14:21,816 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=247 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:21,833 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=247 field=fecha_generacion elapsed=0.001s value=25/03/2026
2026-04-27 14:14:21,871 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=247 field=fecha_expedicion elapsed=0.003s value=25/03/2026
2026-04-27 14:14:21,892 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=247 field=productos elapsed=0.005s productos_pagina=16
2026-04-27 14:14:21,912 | INFO | facturas_app.legacy.invoice_legacy | Extraction page products aggregated. file=ROYALFILMS12026-1-800.pdf page=247 productos_acumulados_factura=16
2026-04-27 14:14:21,940 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:21] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:21,942 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=247 elapsed=4.707s
2026-04-27 14:14:21,981 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=248
2026-04-27 14:14:24,662 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=248 field=extract_text elapsed=2.681s text_chars=1979
2026-04-27 14:14:24,662 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=248 field=numero_factura value=AR07840967
2026-04-27 14:14:24,663 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=248 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:24,664 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=248 field=fecha_generacion elapsed=0.000s value=25/03/2026
2026-04-27 14:14:24,664 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=248 field=fecha_expedicion elapsed=0.000s value=25/03/2026
2026-04-27 14:14:24,665 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=248 field=productos elapsed=0.000s productos_pagina=0
2026-04-27 14:14:24,665 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=248 elapsed=2.684s
2026-04-27 14:14:24,665 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=249
2026-04-27 14:14:25,841 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=249 field=extract_text elapsed=1.176s text_chars=4690
2026-04-27 14:14:25,842 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=249 field=numero_factura value=AR07840967
2026-04-27 14:14:25,843 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=249 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:25,845 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=249 field=fecha_generacion elapsed=0.001s value=25/03/2026
2026-04-27 14:14:25,846 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=249 field=fecha_expedicion elapsed=0.001s value=25/03/2026
2026-04-27 14:14:25,851 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=249 field=productos elapsed=0.004s productos_pagina=16
2026-04-27 14:14:25,851 | INFO | facturas_app.legacy.invoice_legacy | Extraction page products aggregated. file=ROYALFILMS12026-1-800.pdf page=249 productos_acumulados_factura=32
2026-04-27 14:14:25,852 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=249 elapsed=1.187s
2026-04-27 14:14:25,853 | INFO | facturas_app.legacy.invoice_legacy | Extraction page start. file=ROYALFILMS12026-1-800.pdf page=250
2026-04-27 14:14:26,079 | INFO | werkzeug | 127.0.0.1 - - [27/Apr/2026 14:14:26] "GET /resultado HTTP/1.1" 200 -
2026-04-27 14:14:27,795 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=250 field=extract_text elapsed=1.942s text_chars=1979
2026-04-27 14:14:27,795 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=250 field=numero_factura value=AR07840967
2026-04-27 14:14:27,796 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=250 field=cliente elapsed=0.000s nit=890.105.652 cod=1000675282 nombre=Royal Films S.A.S Rfc.C San Andresito
2026-04-27 14:14:27,796 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=250 field=fecha_generacion elapsed=0.000s value=25/03/2026
2026-04-27 14:14:27,797 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=250 field=fecha_expedicion elapsed=0.000s value=25/03/2026
2026-04-27 14:14:27,798 | INFO | facturas_app.legacy.invoice_legacy | Extraction field done. file=ROYALFILMS12026-1-800.pdf page=250 field=productos elapsed=0.001s productos_pagina=0
2026-04-27 14:14:27,798 | INFO | facturas_app.legacy.invoice_legacy | Extraction page done. file=ROYALFILMS12026-1-800.pdf page=250 elapsed=1.945s
